bid,isbn,name,author,publisher,publicationdate,stock,borrowed
1,978-7-122-34544-8,Biginelli反应及其产物化学,权正军，王喜存，张彰著,化学工业出版社,2019-05-01,20,0
2,978-7-5139-2473-3,初中英语话题整合及话题下教学的实践与思考,宗健著,民主与建设出版社有限责任公司,2019-05-01,20,0
3,978-7-122-33999-7,抗癌中草药,林才志，杨建宇，王晓婷主编,化学工业出版社,2019-05-01,20,0
4,978-7-122-34508-0,儿童简笔画绘画入门,方雪砚，洪涛编著,化学工业出版社,2019-05-01,20,0
5,978-7-5524-8382-6,小妇人,(美)露易莎·梅·奥尔科特著,延边教育出版社,2019-05-01,20,0
6,978-7-5581-6171-1,启智教育最强大脑,曲鑫著,吉林出版集团股份有限公司,2019-05-01,20,0
7,978-7-5199-0503-3,危害食品药品安全犯罪典型类案研究,张伟珂著,研究出版社,2019-05-01,20,0
8,978-7-122-34268-3,爱动脑筋的蚊子,张洋著,化学工业出版社,2019-05-01,20,0
9,978-7-122-33943-0,中国神话故事,徐宏洲著,化学工业出版社,2019-05-01,20,0
10,978-7-5180-6473-1,超级记忆、快速阅读与思维导图训练手册,黄玉强著,中国纺织出版社有限公司,2019-05-01,20,0
11,978-7-122-33296-7,金属腐蚀与防护简明读本,林玉珍编著,化学工业出版社,2019-05-01,20,0
12,978-7-122-34267-6,热心的萤火虫,张洋著,化学工业出版社,2019-05-01,20,0
13,978-7-122-33927-0,河流湿地资源利用与公园规划,谢宝东著,化学工业出版社,2019-05-01,20,0
14,978-7-122-33971-3,萌爱手账入门记,蜜桃老师编著,化学工业出版社,2019-05-01,20,0
15,978-7-122-34097-9,能源新视野,张翠华，范小振编著,化学工业出版社,2019-05-01,20,0
16,978-7-122-34243-0,电工技术应用,陈斗，刘志东编著,化学工业出版社,2019-05-01,20,0
17,978-7-5085-4225-6,元曲与元画,(西)宫碧蓝(Pilar Gonzalez Espana)，王翘楚译,五洲传播出版社,2019-05-01,20,0
18,978-7-307-21057-8,自动控制原理远程虚拟仿真实验教程,周洪主编,武汉大学出版社,2019-05-01,20,0
19,978-7-122-34244-7,汽车4S店财务管理与税务审计全程通,刘军编,化学工业出版社,2019-05-01,20,0
20,978-7-122-34824-1,如何成为魔方高手,王富博著,化学工业出版社,2019-05-01,20,0
21,978-7-122-33141-0,图解电工快速入门与提高,蔡杏山主编,化学工业出版社,2019-05-01,20,0
22,978-7-5398-8767-8,国画起步,赵锦飞主编,安徽美术出版社,2019-05-01,20,0
23,978-7-122-34034-4,我们一起玩,彭桂兰文,化学工业出版社,2019-05-01,20,0
24,978-7-304-09792-9,我也很棒！,(美)乔纳森·芬斯克文·图,国家开放大学出版社,2019-05-01,20,0
25,978-7-122-34324-6,实验室安全教程,胡洪超，蒋旭红，舒绪刚主编,化学工业出版社,2019-05-01,20,0
